1858-00-00	1858
1917-08-20	August 20, 1917
1919-00-00	1919
1921-00-00	1921
1926-00-00	1926
1927-11-00	November 1927
1932-08-00	August 1932
1934-00-00	1934
1935-00-00	1935
1937-00-00	1937
1938-00-00	1938
1942-00-00	1942
1946-00-00	1946
1946-11-00	November 1946
1946-12-09	December 9, 1946
1946-12-13	December 13, 1946
1947-01-22	January 22, 1947
1947-02-20	Feburary 20, 1947
1947-04-28	April 28, 1947
1947-06-03	June 3, 1947
1947-08-15	August 15, 1947
1947-08-29	August 29, 1947
1947-12-31	December 31, 1947
1948-02-00	Feburary 1948
1948-06-20	June 20, 1948
1948-10-00	October 1948
1948-11-04	November 4, 1948
1948-11-09	November 9, 1948
1948-11-15	November 15, 1948
1949-05-00	May 1949
1949-10-17	October 17, 1949
1949-11-00	November 1949
1949-11-14	November 14, 1949
1949-11-26	November 26, 1949
1950-01-24	January 24, 1950
1950-01-26	January 26, 1950
