Sl. No.|Members                   |Portfolios Held
1.     |Jawaharlal Nehru          |Prime Minister; External Affairs
       |                          |\& Commonwealth Relations; Scientific Research
2.     |Sardar Vallabhbhai Patel  |Home; Information \& Broadcasting; States
3.     |Dr. Rajendra Prasad       |Food \& Agriculture
4.     |Maulana Abul Kalam Azad   |Education
5.     |Dr. John Mathai           |Railway \& Transport
6.     |R.K. Shanmugham           |Finance
7.     |Dr. B.R. Ambedkar         |Law
8.     |Jagjivan Ram              |Labor
9.     |Sardar Baldev Singh       |Defense
10.    |Raj Kumari Amrit Kaur     |Health
11.    |C.H. Bhabha               |Commerce
12.    |Rafi Ahmed Kidwai         |Communication
13.    |Dr. Shyama Prasad Mukherji|Industries \& Supplies
14.    |V.N. Gadgil               |Works; Mines \& Power
