Articles|Deals with
1|Name and territory of the Union
3|Formation of new states and alteration of areas, boundaries or
|names of existing states
13|Laws inconsistent with or in derogation of the fundamental rights
14|Equality before law
16|Equality of opportunity in matters of public employment
17|Abolition of untouchability
19|Protection of certain rights regarding freedom of speech, etc.
21|Protection of life and personal liberty
21|A Right to elementary education
25|Freedom of conscience and free profession, practice and
|propagation of religion
30|Right of minorities to establish and administer educational institutions
31-C|Saving of laws giving effect to certain directive principles
32|Remedies for enforcement of fundamental rights including writs
38|State to secure a social order for the promotion of welfare of the people
40|Organisation of village panchayats
44|Uniform civil code for the citizens
45|Provision for early childhood care and education to
|children, below the age of 6 years.
46|Promotion of educational and economic interests of scheduled castes
|scheduled tribes and other weaker sections
50|Separation of judiciary from executive
51|Promotion of international peace and security
51|A Fundamental duties
72|Power of president to grant pardons, etc., and to suspend, remit or
|commute sentences in certain cases"
74|Council of ministers to aid and advise the president
78|Duties of prime minister as respects the furnishing of information to,
|the president etc.
110|Definition of Money Bills
112|Annual financial statement (Budget)
123|Power of president to promulgate ordinances during recess of Parliament
143|Power of president to consult Supreme Court
155|Appointment of governor
161|Power of governor to grant pardons, etc., and to suspend, remit, or
|commute sentences in certain cases"
163|Council of ministers to aid and advise the governor
167|Duties of chief minister with regard to the furnishing of information
|to governor, etc.
169|Abolition or creation of legislative councils in states
200|Assent to bills by governor (including reservation for President)
213|Power of governor to promulgate ordinances during recess
|of the state legislature
226|Power of high courts to issue certain writs
239|AA Special provisions with respect to Delhi
249|Power of Parliament to legislate with respect  to a matter in the
|State List in the national interest
262|Adjudication of disputes relating to waters of inter-state rivers
|or river valleys
263|Provisions with respect to an inter-state council
265|Taxes not to be imposed save by authority of law
275|Grants from the Union to certain states
280|Finance Commission
300|Suits and proceedings
300|A Persons not to be deprived of property save by authority
|of law (Right to property)
311|Dismissal, removal or reduction in rank of persons employed in,
|civil capacities under the Union or a state.
312|All-India Services
315|Public service commissions for the Union and for the states
320|Functions of Public service commissions
323-A|Administrative tribunals
324|Superintendence direction and control of elections to be vested,
|in an Election Commission
330|Reservation of seats for scheduled castes and scheduled tribes,
|in the House of the People
335|Claims of scheduled castes and scheduled tribes to services and posts
352|Proclamation of Emergency (National Emergency)
356|Provisions in case of failure of constitutional machineryin,
|states (President’s Rule)
360|Provisions as to financial emergency.
365|Effect of failure to comply with or to give effect to,
|directions given by the Union (President’s Rule)
368|Power of Parliament to amend the Constitution and procedure therefor
370|Temporary provisions with respect to the state of  Jammu and Kashmir
